Id,EssaySet,Score1,Score2,EssayText
13959,6,0,0,1.they do mitosis so they can stay alive if one cell is dying.2.more substances come in then out3.cell get rid of the stuff they dont need for the cell
13960,6,0,0,MITOSIS MEOSIS TRANSLATION
13962,6,0,0,The cell can tell the substances to move across the membrane because the cells need to move to get to the place where they need to go.
13963,6,0,0,The membrane recognizes and lets needed protiens go into the cell.Osmosis is a way they keep the liquid in the cell equal to the liquid outside of the cell.Plants use a cell wall to protect the cell and keep out big things and let the little things in.
13964,6,0,0,1.The structure og the cell's is the same2.living cell's come from another living cell3. cell's come from cell's
13965,6,0,0,respirationmovement of foods and protiens in and out of the cell
13966,6,0,0,1. The postion of the cell sometimes wont let the cell move.2. The flagella will grab hold of something on the side to where it will be stuck until it lets go.3. The procees of the cell will stay in one place until its procees is complet.
13969,6,0,0,Proteins are carried by ribosomes to the golgi apparatus.Lipids are stored in the cell membrane to later be sent all over the cell.Stuff that needs to be obstructed from the cell is decomposed by the Lysosomes that travel throughout the cell.
13970,6,0,0,"Osmosis, Mitosis, and Cytosis."
13971,6,1,1,Osmosious controls the movement of water across the cell.Diffusion controls how gentic information is moved to another cell.Sodium potassioum pump moves sodium and potassioum around the cell through tubes.
13972,6,0,0,All cells are living.Some cells make other cells.
13973,6,0,0,Transportation so the cell can move particles across the plasma membraneHomeostacis so the cell can do its job normally
13974,6,0,0,The membrane is permeable which allows smaller cells to go through. Membranes have cells that create openings for larger cells.
13975,6,0,0,anaphase: Cells splittelophase: Cells start to splitprophase: Nuclear membrain dissapers
13976,6,0,0,Cell Wall- controls what goes in and outCell Membrane- also controls what goes in and outNucleus- conrtols what the cell does
13977,6,0,0,The cell membrane uses enzymes.
13979,6,0,0,cell respiration
13981,6,0,0,equilbrium of substances from higt to low concertrion  diffusion the excreation of water and waste from the cell
13982,6,0,0,"Three processes used by cells to control the movement of substances across the cell membrane include: Keeping all the healthy cells healthy, getting rid of the bad cells, and maintaining a smooth environment."
13983,6,0,0,into and out of the cell
13984,6,0,0,Trna is a movement of a type of cell across the cell membrane.
13985,6,0,0,"Three processes are when the cell usese other cells, the use of cilai and flagilia."
13986,6,0,0,"The cells use active transport, osmosis, and diffusion to control the movement of substances across the cell membrane. In active transport, the substances move thought the opening (tubes) in the cell membrane to get into the cell. They osmosis, the substances need to be small so they can pass through the membrane. Lastly, in diffusion, they difuse into the cell."
13987,6,0,0,Replication-
13988,6,0,0,Cells use the process of diffusion to take in the substances. The protiens in the plasma membrane change their shape to carry substances throught the membrane and into the cell. Osmosis also brings substances into the cell by bringing them in through the water around the cell.
